date,time,location,wp,gps,lat,lon,cw1,cw2,ht,bd1,bd2,buds,flowers,pods,seeds,resprout,rhizobia,disturbed,bipinnate,notes
09/02/2012,NA,Tokai,001/41,NA,-34.059575,18.414967,0.05,0.03,0.18,0.001,NA,NA,NA,NA,NA,NA,N,NA,N,Pulled
09/02/2012,NA,Tokai,42,NA,-34.059575,18.414963,0.05,0.02,0.165,0.001,NA,NA,NA,NA,NA,NA,N,NA,N,Pulled
09/02/2012,NA,Tokai,43,NA,-34.059589,18.414983,0.025,0.03,0.09,0.001,NA,NA,NA,NA,NA,NA,N,NA,N,Pulled
09/02/2012,NA,Tokai,44,NA,-34.059569,18.414948,0.04,0.025,0.06,0.001,NA,NA,NA,NA,NA,NA,N,NA,N,Pulled
09/02/2012,NA,Tokai,45,NA,-34.059575,18.414953,0.02,0.02,0.05,0.001,NA,NA,NA,NA,NA,NA,N,NA,Y,Pulled
09/02/2012,NA,Tokai,46,NA,-34.059594,18.414962,0.025,0.015,0.1,0.001,NA,NA,NA,NA,NA,NA,Y,NA,Y,Pulled
09/02/2012,NA,Tokai,47,NA,-34.059596,18.414955,0.01,0.012,0.055,0.001,NA,NA,NA,NA,NA,NA,N,NA,Y,Pulled
09/02/2012,NA,Tokai,48,NA,-34.059608,18.414942,0.03,0.015,0.064,0.001,NA,NA,NA,NA,NA,NA,Y,NA,Y,Pulled
09/02/2012,NA,Tokai,49,NA,-34.059605,18.414955,0.035,0.02,0.075,0.001,NA,NA,NA,NA,NA,NA,Y,NA,Y,Pulled
09/02/2012,NA,Tokai,50,NA,-34.059606,18.414953,0.05,0.035,0.22,0.002,NA,NA,NA,NA,NA,NA,Y,NA,N,Pulled
09/02/2012,NA,Tokai,51,NA,-34.059616,18.414934,0.045,0.02,0.21,0.002,NA,NA,NA,NA,NA,NA,Y,NA,Y,Pulled
09/02/2012,NA,Tokai,52,NA,-34.059619,18.414924,0.12,0.14,0.41,0.003,NA,NA,NA,NA,NA,NA,N,NA,Y,Pulled
09/02/2012,NA,Tokai,53,NA,-34.059619,18.414924,0.08,0.04,0.125,0.001,NA,NA,NA,NA,NA,NA,Y,NA,Y,Pulled
09/02/2012,NA,Tokai,54,NA,-34.059604,18.414908,0.03,0.01,0.055,0.001,NA,NA,NA,NA,NA,NA,N,NA,Y,Pulled
09/02/2012,NA,Tokai,55,NA,-34.059655,18.414915,0.085,0.06,0.29,0.002,NA,NA,NA,NA,NA,NA,Y,NA,Y,Pulled
09/02/2012,NA,Tokai,56,NA,-34.059652,18.414918,0.04,0.025,0.105,0.001,NA,NA,NA,NA,NA,NA,N,NA,N,Pulled
09/02/2012,NA,Tokai,57,NA,-34.059654,18.414921,0.045,0.03,0.17,0.002,NA,NA,NA,NA,NA,NA,Y,NA,Y,Pulled
09/02/2012,NA,Tokai,58,NA,-34.059654,18.414923,0.04,0.03,0.085,0.001,NA,NA,NA,NA,NA,NA,N,NA,Y,Pulled
09/02/2012,NA,Tokai,59,NA,-34.05965,18.414919,0.1,0.08,0.32,0.002,NA,NA,NA,NA,NA,NA,Y,NA,N,Pulled
09/02/2012,NA,Tokai,60,NA,-34.05965,18.41496,0.09,0.05,0.23,0.002,NA,NA,NA,NA,NA,NA,Y,NA,N,Pulled
09/02/2012,NA,Tokai,61,NA,-34.059652,18.414966,0.085,0.035,0.17,0.002,NA,NA,NA,NA,NA,NA,Y,NA,N,Pulled
09/02/2012,NA,Tokai,62,NA,-34.05965,18.414969,0.04,0.025,0.14,0.001,NA,NA,NA,NA,NA,NA,Y,NA,Y,Pulled
09/02/2012,NA,Tokai,63,NA,-34.059639,18.41497,0.025,0.02,0.12,0.001,NA,NA,NA,NA,NA,NA,Y,NA,N,Pulled
09/02/2012,NA,Tokai,64,NA,-34.059645,18.414967,0.075,0.08,0.32,0.003,NA,NA,NA,NA,NA,NA,Y,NA,N,Pulled
09/02/2012,NA,Tokai,65,NA,-34.059645,18.414966,0.035,0.03,0.135,0.001,NA,NA,NA,NA,NA,NA,N,NA,Y,Pulled
09/02/2012,NA,Tokai,66,NA,-34.059644,18.414971,0.04,0.025,0.24,0.001,NA,NA,NA,NA,NA,NA,Y,NA,N,Pulled
09/02/2012,NA,Tokai,67,NA,-34.05964,18.414965,0.02,0.02,0.075,0.001,NA,NA,NA,NA,NA,NA,N,NA,N,Pulled
09/02/2012,NA,Tokai,68,NA,-34.059618,18.414969,0.025,0.02,0.085,0.001,NA,NA,NA,NA,NA,NA,Y,NA,Y,Pulled
09/02/2012,NA,Tokai,69,NA,-34.059628,18.414964,0.039,0.02,0.07,0.001,NA,NA,NA,NA,NA,NA,N,NA,Y,Pulled
09/02/2012,NA,Tokai,70,NA,-34.059615,18.414971,0.04,0.025,0.16,0.001,NA,NA,NA,NA,NA,NA,Y,NA,Y,Pulled
09/02/2012,NA,Tokai,71,NA,-34.059611,18.414971,0.025,0.02,0.07,0.001,NA,NA,NA,NA,NA,NA,N,NA,Y,Pulled
09/02/2012,NA,Tokai,72,NA,-34.059615,18.41497,0.03,0.015,0.085,0.001,NA,NA,NA,NA,NA,NA,N,NA,N,Pulled
09/02/2012,NA,Tokai,73,NA,-34.059608,18.414984,0.12,0.1,0.4,0.003,NA,NA,NA,NA,NA,NA,Y,NA,N,Pulled
09/02/2012,NA,Tokai,74,NA,-34.059611,18.414979,0.06,0.04,0.17,0.001,NA,NA,NA,NA,NA,NA,Y,NA,Y,Pulled
09/02/2012,NA,Tokai,75,NA,-34.059613,18.414978,0.035,0.03,0.15,0.001,NA,NA,NA,NA,NA,NA,N,NA,Y,Pulled
09/02/2012,NA,Tokai,76,NA,-34.059616,18.414983,0.035,0.015,0.05,0.001,NA,NA,NA,NA,NA,NA,N,NA,Y,Pulled
09/02/2012,NA,Tokai,77,NA,-34.059617,18.414983,0.07,0.04,0.23,0.002,NA,NA,NA,NA,NA,NA,Y,NA,N,Pulled
09/02/2012,NA,Tokai,78,NA,-34.059613,18.415001,0.09,0.035,0.21,0.001,NA,NA,NA,NA,NA,NA,Y,NA,Y,Pulled
09/02/2012,NA,Tokai,79,NA,-34.059612,18.414992,0.035,0.025,0.17,0.001,NA,NA,NA,NA,NA,NA,N,NA,Y,Pulled
09/02/2012,NA,Tokai,80,NA,-34.059594,18.415005,0.65,0.04,0.21,0.001,NA,NA,NA,NA,NA,NA,Y,NA,N,Pulled
09/02/2012,NA,Tokai,81,NA,-34.059579,18.415049,0.04,0.04,0.13,0.001,NA,NA,NA,NA,NA,NA,N,NA,N,Pulled
09/02/2012,NA,Tokai,82,NA,-34.059595,18.415069,0.045,0.05,0.16,0.001,NA,NA,NA,NA,NA,NA,N,NA,N,Pulled
09/02/2012,NA,Tokai,83,NA,-34.059604,18.415067,0.045,0.04,0.22,0.002,NA,NA,NA,NA,NA,NA,Y,NA,N,Pulled
09/02/2012,NA,Tokai,84,NA,-34.059611,18.415061,0.04,0.03,0.17,0.001,NA,NA,NA,NA,NA,NA, n,NA,Y,Pulled
09/02/2012,NA,Tokai,85,NA,-34.059613,18.415063,0.045,0.015,0.12,0.001,NA,NA,NA,NA,NA,NA,Y,NA,Y,Pulled
09/02/2012,NA,Tokai,86,NA,-34.059606,18.415072,0.05,0.03,0.175,0.001,NA,NA,NA,NA,NA,NA,Y,NA,Y,Pulled
09/02/2012,NA,Tokai,87,NA,-34.059606,18.415072,0.015,0.015,0.095,0.001,NA,NA,NA,NA,NA,NA,Y,NA,N,Pulled
09/02/2012,NA,Tokai,88,NA,-34.059608,18.415073,0.04,0.025,0.14,0.001,NA,NA,NA,NA,NA,NA,Y,NA,N,Pulled
09/02/2012,NA,Tokai,89,NA,-34.059611,18.415063,0.025,0.02,0.19,0.001,NA,NA,NA,NA,NA,NA,Y,NA,Y,Pulled
09/02/2012,NA,Tokai,90,NA,-34.059611,18.415062,0.03,0.01,0.08,0.001,NA,NA,NA,NA,NA,NA,N,NA,Y,Pulled
09/02/2012,NA,Tokai,91,NA,-34.059615,18.41506,0.02,0.01,0.135,0.001,NA,NA,NA,NA,NA,NA,Y,NA,Y,Pulled
09/02/2012,NA,Tokai,92,NA,-34.05962,18.415051,0.022,0.03,0.13,0.001,NA,NA,NA,NA,NA,NA,Y,NA,N,Pulled
09/02/2012,NA,Tokai,93,NA,-34.05962,18.415052,0.04,0.02,0.085,0.001,NA,NA,NA,NA,NA,NA,N,NA,N,Pulled
09/02/2012,NA,Tokai,94,NA,-34.059618,18.415053,0.04,0.02,0.17,0.001,NA,NA,NA,NA,NA,NA,Y,NA,N,Pulled
09/02/2012,NA,Tokai,95,NA,-34.05962,18.415052,0.055,0.03,0.15,0.001,NA,NA,NA,NA,NA,NA,Y,NA,N,Pulled
09/02/2012,NA,Tokai,96,NA,-34.059625,18.415048,0.085,0.04,0.32,0.003,NA,NA,NA,NA,NA,NA,Y,NA,N,Pulled
09/02/2012,NA,Tokai,97,NA,-34.059618,18.415052,0.025,0.02,0.12,0.001,NA,NA,NA,NA,NA,NA,N,NA,N,Pulled
09/02/2012,NA,Tokai,98,NA,-34.059628,18.415052,0.04,0.02,0.14,0.001,NA,NA,NA,NA,NA,NA,N,NA,N,Pulled
09/02/2012,NA,Tokai,99,NA,-34.059627,18.415052,0.025,0.01,0.07,0.001,NA,NA,NA,NA,NA,NA,N,NA,N,Pulled
09/02/2012,NA,Tokai,100,NA,-34.059634,18.415055,0.03,0.01,0.035,0.001,NA,NA,NA,NA,NA,NA,N,NA,Y,Pulled
09/02/2012,NA,Tokai,101,NA,-34.059639,18.415058,0.025,0.01,0.065,0.001,NA,NA,NA,NA,NA,NA,N,NA,Y,Pulled
09/02/2012,NA,Tokai,102,NA,-34.059645,18.415061,0.035,0.03,0.16,0.001,NA,NA,NA,NA,NA,NA,N,NA,Y,Pulled
09/02/2012,NA,Tokai,103,NA,-34.059643,18.415065,0.03,0.05,0.18,0.004,NA,NA,NA,NA,NA,NA,Y,NA,N,Pulled
09/02/2012,NA,Tokai,104,NA,-34.059642,18.415065,0.045,0.015,0.105,0.001,NA,NA,NA,NA,NA,NA,N,NA,N,Pulled
09/02/2012,NA,Tokai,105,NA,-34.059643,18.415062,0.07,0.025,0.15,0.001,NA,NA,NA,NA,NA,NA,Y,NA,N,Pulled
09/02/2012,NA,Tokai,106,NA,-34.059644,18.415057,0.055,0.05,0.215,0.003,NA,NA,NA,NA,NA,NA,N,NA,N,Pulled
09/02/2012,NA,Tokai,107,NA,-34.059649,18.415054,0.04,0.025,0.14,0.001,NA,NA,NA,NA,NA,NA,N,NA,N,Pulled
09/02/2012,NA,Tokai,108,NA,-34.059648,18.415059,0.02,0.02,0.115,0.001,NA,NA,NA,NA,NA,NA,N,NA,Y,Pulled
